estrategia,label,grupo,categoria,f1,precision,recall,support,f1_macro,f1_weighted
zs_v1_base,ZS-v1 Base,zero_shot,homophobia,0.3055,0.2329,0.4438,169,0.2238,0.7501
zs_v1_base,ZS-v1 Base,zero_shot,insult,0.1659,0.3361,0.1101,1489,0.2238,0.7501
zs_v1_base,ZS-v1 Base,zero_shot,misogyny,0.0488,0.0311,0.1136,44,0.2238,0.7501
zs_v1_base,ZS-v1 Base,zero_shot,not_toxic,0.87,0.8499,0.8912,16783,0.2238,0.7501
zs_v1_base,ZS-v1 Base,zero_shot,obscene,0.3108,0.3565,0.2755,2276,0.2238,0.7501
zs_v1_base,ZS-v1 Base,zero_shot,racism,0.0384,0.0202,0.381,21,0.2238,0.7501
zs_v1_base,ZS-v1 Base,zero_shot,xenophobia,0.0513,0.0349,0.0968,31,0.2238,0.7501
zs_v2_descriptions,ZS-v2 Descriptions,zero_shot,homophobia,0.3372,0.2765,0.432,169,0.2875,0.724
zs_v2_descriptions,ZS-v2 Descriptions,zero_shot,insult,0.2099,0.4286,0.139,1489,0.2875,0.724
zs_v2_descriptions,ZS-v2 Descriptions,zero_shot,misogyny,0.0506,0.0285,0.2273,44,0.2875,0.724
zs_v2_descriptions,ZS-v2 Descriptions,zero_shot,not_toxic,0.8243,0.8826,0.7732,16783,0.2875,0.724
zs_v2_descriptions,ZS-v2 Descriptions,zero_shot,obscene,0.3762,0.2798,0.5738,2276,0.2875,0.724
zs_v2_descriptions,ZS-v2 Descriptions,zero_shot,racism,0.0314,0.0171,0.1905,21,0.2875,0.724
zs_v2_descriptions,ZS-v2 Descriptions,zero_shot,xenophobia,0.1831,0.1171,0.4194,31,0.2875,0.724
zs_v3_no_antibias,ZS-v3 No-Antibias,zero_shot,homophobia,0.3068,0.2256,0.4793,169,0.2206,0.7376
zs_v3_no_antibias,ZS-v3 No-Antibias,zero_shot,insult,0.2043,0.3097,0.1525,1489,0.2206,0.7376
zs_v3_no_antibias,ZS-v3 No-Antibias,zero_shot,misogyny,0.0551,0.0294,0.4318,44,0.2206,0.7376
zs_v3_no_antibias,ZS-v3 No-Antibias,zero_shot,not_toxic,0.8628,0.8496,0.8765,16783,0.2206,0.7376
zs_v3_no_antibias,ZS-v3 No-Antibias,zero_shot,obscene,0.224,0.3478,0.1652,2276,0.2206,0.7376
zs_v3_no_antibias,ZS-v3 No-Antibias,zero_shot,racism,0.0309,0.016,0.4286,21,0.2206,0.7376
zs_v3_no_antibias,ZS-v3 No-Antibias,zero_shot,xenophobia,0.0805,0.0508,0.1935,31,0.2206,0.7376
fs_v1_1ex,FS-v1 1-Example,few_shot,homophobia,0.4118,0.3333,0.5385,169,0.2706,0.7547
fs_v1_1ex,FS-v1 1-Example,few_shot,insult,0.2689,0.3938,0.2042,1489,0.2706,0.7547
fs_v1_1ex,FS-v1 1-Example,few_shot,misogyny,0.0632,0.0362,0.25,44,0.2706,0.7547
fs_v1_1ex,FS-v1 1-Example,few_shot,not_toxic,0.8544,0.8898,0.8218,16783,0.2706,0.7547
fs_v1_1ex,FS-v1 1-Example,few_shot,obscene,0.3911,0.3239,0.4934,2276,0.2706,0.7547
fs_v1_1ex,FS-v1 1-Example,few_shot,racism,0.0841,0.0466,0.4286,21,0.2706,0.7547
fs_v1_1ex,FS-v1 1-Example,few_shot,xenophobia,0.0909,0.0502,0.4839,31,0.2706,0.7547
fs_v2_2ex_antibias,FS-v2 2ex+Antibias,few_shot,homophobia,0.4253,0.3717,0.497,169,0.3173,0.7666
fs_v2_2ex_antibias,FS-v2 2ex+Antibias,few_shot,insult,0.2624,0.4303,0.1887,1489,0.3173,0.7666
fs_v2_2ex_antibias,FS-v2 2ex+Antibias,few_shot,misogyny,0.07,0.0423,0.2045,44,0.3173,0.7666
fs_v2_2ex_antibias,FS-v2 2ex+Antibias,few_shot,not_toxic,0.8722,0.8723,0.872,16783,0.3173,0.7666
fs_v2_2ex_antibias,FS-v2 2ex+Antibias,few_shot,obscene,0.372,0.3526,0.3937,2276,0.3173,0.7666
fs_v2_2ex_antibias,FS-v2 2ex+Antibias,few_shot,racism,0.1023,0.0567,0.5238,21,0.3173,0.7666
fs_v2_2ex_antibias,FS-v2 2ex+Antibias,few_shot,xenophobia,0.1167,0.067,0.4516,31,0.3173,0.7666
fs_v3_2ex,FS-v3 2-Examples,few_shot,homophobia,0.4018,0.3271,0.5207,169,0.2747,0.7659
fs_v3_2ex,FS-v3 2-Examples,few_shot,insult,0.2755,0.4453,0.1995,1489,0.2747,0.7659
fs_v3_2ex,FS-v3 2-Examples,few_shot,misogyny,0.0598,0.035,0.2045,44,0.2747,0.7659
fs_v3_2ex,FS-v3 2-Examples,few_shot,not_toxic,0.8681,0.8817,0.8548,16783,0.2747,0.7659
fs_v3_2ex,FS-v3 2-Examples,few_shot,obscene,0.3892,0.349,0.4398,2276,0.2747,0.7659
fs_v3_2ex,FS-v3 2-Examples,few_shot,racism,0.1044,0.057,0.619,21,0.2747,0.7659
fs_v3_2ex,FS-v3 2-Examples,few_shot,xenophobia,0.0989,0.0556,0.4516,31,0.2747,0.7659
