text,label,predicao,resposta_raw,tokens_s,latencia_s
"@user @user @user Se não fosse um bando de vândalos famosos por depredação de patrimônio público e queima de pneus, isso não estaria acontecendo.

Vândalos vagabundo tem que ser monitorado.",insult,misogyny,MISOGYNY,91.3,4.28
"vejo vídeos como esse e depois tenho que ver brancos tentando ganhar simpatia por ter se ofendido com piadinhas na internet mano VAI SE FUDER, enquanto vocês se ofendem com isso, pretos estão sendo tratados dessa forma aí na vida REAL",insult,racism,RACISM,110.6,4.6
"@user @user Vai se lascar sua idiota mentirosa. Você é asquerosa; repúdio é o que o povo brasileiro tem a seu respeito. Vamos extirpar gente do seu nível da política brasileira. Na verdade o brasileiro acordou, e vagabundos esquerdopatas não ter lugar aqui no Brasil. Cadeia nos bandidos",insult,misogyny,MISOGYNY,102.7,4.91
rt @user ah vai tomar no cu,insult,obscene,OBSCENE,104.6,5.17
@user @user @user a feia lá kkkkllkllllllkkkkkk,insult,not_toxic,NOT_TOXIC,104.2,5.45
sai o calanga kkkkk,insult,racism,RACISM,111.4,5.71
ernesto araújo so não é mais burro q o próprio presidente,insult,not_toxic,NOT_TOXIC,107.1,5.98
parece que se faz de idiota,insult,insult,INSULT,119.7,6.23
"@user @user toma na cara aí, fdp!!!",insult,insult,INSULT,122.4,6.48
@user tenho 22 anos e sou uma vitima deste lixo chamado paulo freire,insult,not_toxic,NOT_TOXIC,106.2,6.76
"@user Fui a Brasília e só vi pasto nos três poderes, um bando de mulas no Palácio do Planalto, nos ministérios,  no STF e parte significativa do congresso nacional",insult,racism,RACISM,112.0,7.03
"todo respeito, vai se fuder",insult,not_toxic,NOT_TOXIC,106.5,7.3
vai tomar no meio do seu cu,insult,obscene,OBSCENE,111.9,7.55
"@user só o flamerda pode contratar lixo europeu? os outros também podem, recalcado! 🤫",insult,not_toxic,NOT_TOXIC,105.9,7.83
@user @user não está feliz vai embora lixo.,insult,not_toxic,NOT_TOXIC,107.0,8.09
"@user cala a sua boca idiota, queria saber como que eu te aguentei todo esse tempo",insult,insult,INSULT,125.3,8.35
@user @user duas puta manca,insult,insult,INSULT,123.0,8.6
"@user é cada doido, pqp. o brasileiro medio ta cada vez mais retardado",insult,racism,RACISM,111.3,8.86
