text,label,predicao,resposta_raw,tokens_s,latencia_s
"@user @user @user Se não fosse um bando de vândalos famosos por depredação de patrimônio público e queima de pneus, isso não estaria acontecendo.

Vândalos vagabundo tem que ser monitorado.",insult,xenophobia,XENOPHOBIA,92.2,0.4
"vejo vídeos como esse e depois tenho que ver brancos tentando ganhar simpatia por ter se ofendido com piadinhas na internet mano VAI SE FUDER, enquanto vocês se ofendem com isso, pretos estão sendo tratados dessa forma aí na vida REAL",insult,racism,RACISM,111.8,0.8
"@user @user Vai se lascar sua idiota mentirosa. Você é asquerosa; repúdio é o que o povo brasileiro tem a seu respeito. Vamos extirpar gente do seu nível da política brasileira. Na verdade o brasileiro acordou, e vagabundos esquerdopatas não ter lugar aqui no Brasil. Cadeia nos bandidos",insult,insult,INSULT,117.0,1.17
rt @user ah vai tomar no cu,insult,obscene,OBSCENE,107.3,1.51
@user @user @user a feia lá kkkkllkllllllkkkkkk,insult,insult,INSULT,118.2,1.84
sai o calanga kkkkk,insult,not_toxic,NOT_TOXIC,102.6,2.2
ernesto araújo so não é mais burro q o próprio presidente,insult,not_toxic,NOT_TOXIC,106.2,2.56
parece que se faz de idiota,insult,insult,INSULT,122.3,2.89
"@user @user toma na cara aí, fdp!!!",insult,insult,INSULT,121.9,3.23
@user tenho 22 anos e sou uma vitima deste lixo chamado paulo freire,insult,racism,RACISM,112.4,3.58
"@user Fui a Brasília e só vi pasto nos três poderes, um bando de mulas no Palácio do Planalto, nos ministérios,  no STF e parte significativa do congresso nacional",insult,not_toxic,NOT_TOXIC,104.5,3.93
"todo respeito, vai se fuder",insult,obscene,OBSCENE,109.4,4.28
vai tomar no meio do seu cu,insult,obscene,OBSCENE,111.3,4.63
"@user só o flamerda pode contratar lixo europeu? os outros também podem, recalcado! 🤫",insult,not_toxic,NOT_TOXIC,106.8,4.98
@user @user não está feliz vai embora lixo.,insult,insult,INSULT,120.4,5.32
"@user cala a sua boca idiota, queria saber como que eu te aguentei todo esse tempo",insult,insult,INSULT,121.6,5.65
@user @user duas puta manca,insult,obscene,OBSCENE,110.7,5.99
"@user é cada doido, pqp. o brasileiro medio ta cada vez mais retardado",insult,xenophobia,XENOPHOBIA,99.8,6.38
@user providencia gorda,insult,not_toxic,NOT_TOXIC,105.4,6.74
banho no gordo https://t.co/lid0ibfoni,insult,obscene,OBSCENE,109.6,7.08
eu ai me agarrava nessa infeliz e descia unhada e tapa nela vsf fã coreana nao tem um pingo de simancol,insult,obscene,OBSCENE,106.6,7.43
@user @user tropinha é ridiculo olha o nome da sua guild mlk fbi tu ta de sacanagem,insult,not_toxic,NOT_TOXIC,105.0,7.78
@user tu mãe vagabundo,insult,not_toxic,NOT_TOXIC,101.4,8.14
"rt @user pior coisa é homem escroto, ó raça fdp",insult,racism,RACISM,108.1,8.49
fizeram um videozinho que o @user ficou um pouco mais demente kkkkkkkkkkkkkkk https://t.co/pxsket3gma,insult,not_toxic,NOT_TOXIC,106.0,8.85
"@user @user @user SÓ drogado noiado,não vão convidar a escrava Isaura, não perceberam que hoje vcs artistas defensores do socialismo viraram chacota,não influenciam ninguém além da turminha insana ,não tem efeito na maioria do povo os protestinhos seus hipócritas.",insult,obscene,OBSCENE,113.4,9.25
"@user @user Onde Lula está, só entra comunista petista. Ali sim, é deposito de lixo, seu dia está chegando e até 2022, todos os petistas estarão na mesma lixeira. 🔫🔫🔫",insult,not_toxic,NOT_TOXIC,107.4,13.1
"Olha Deus me livre de ter uma irma igual a bia ,alem de ser pessima irma é uma pessima tia ! Nao faz nada em casa nao lava uma louça nao varre uma casa,nao faz A PROPRIA COMIDA,duvido ate se toma banho ,nao sei quando vai acordar pra vida so vive no celular essa porra",insult,not_toxic,NOT_TOXIC,110.6,13.49
@user @user para um idiota que conta os dias para eleger o ciro! to no lucro,insult,not_toxic,NOT_TOXIC,111.7,13.85
cara torta da porra https://t.co/h3o6iwehjx,insult,not_toxic,NOT_TOXIC,111.0,14.2
