text,label,predicao,resposta_raw,tokens_s
o berro q eu dei @user @user,not_toxic,not_toxic,NOT_TOXIC,96.1
@user teu pai aquele gordo,insult,insult,INSULT,117.5
@user kkkkkkkkkkkkkkkkkkkkk caralho. vou roubar,not_toxic,not_toxic,NOT_TOXIC,104.6
quase q botei tudo pra fora por causa desse bendito remédio,not_toxic,not_toxic,NOT_TOXIC,100.8
"@user Já que a conta oficial do L7 tá parada, quero trazer pro tt todas as novidades do trampo dele, vamos ajudar a fazer essa conta crescer família, segue ai 🔥",not_toxic,not_toxic,NOT_TOXIC,104.3
"rt @user 掳掳au larry - sign of the crime掳掳

191 - tenho consci锚ncia de classe

sexta 13/02 https://t.co/avhrge0dle",not_toxic,not_toxic,NOT_TOXIC,98.9
rt @user eu fico pensando numas coisas q sei lá da vontade de bater a cabeça na parede p parar de pensar,not_toxic,not_toxic,NOT_TOXIC,95.0
maior verdade,not_toxic,not_toxic,NOT_TOXIC,102.9
parece ate eu e a maria do bairro 馃が馃拸,not_toxic,not_toxic,NOT_TOXIC,99.3
fizeram um funk pra mim amooo,not_toxic,not_toxic,NOT_TOXIC,102.8
porra era só um carro pprt,not_toxic,not_toxic,NOT_TOXIC,102.4
"vejo gente criando problemas pra competir quem sofre mais porra, são covardes 🎶🎶",not_toxic,not_toxic,NOT_TOXIC,101.0
"passando pra enaltecer o quanto eu amo essa mulher falando o nome da cada integrante
#MPN #NowUnited #Uniters #MarinaRuyBarbosa https://t.co/Y7K0ytarWB",not_toxic,not_toxic,NOT_TOXIC,95.4
kkkkkkkkkkkkkkkkkkkkkkkkkk vsf,not_toxic,not_toxic,NOT_TOXIC,97.7
já vai aprendendo @user,not_toxic,not_toxic,NOT_TOXIC,101.5
@user tá na hora de voltar mesmo kskskksks. vlw puto,not_toxic,not_toxic,NOT_TOXIC,101.7
"odeio ficar no vácuo, pqp",not_toxic,not_toxic,NOT_TOXIC,103.9
"hj um amigo dela veio falar comigo pq ela n fala mais com ele só quer saber do macho

eh meus amigos..... vamos ter q fazer uma intervenção",not_toxic,not_toxic,NOT_TOXIC,101.7
@user gostaria que vc postasse o ato se expulsão de bolsonaro rei da fake news. aguardando.....,not_toxic,not_toxic,NOT_TOXIC,103.6
SE O BLACKPINK VIR PRO LOLLA JÁ VAI SER UMA VITÓRIA PRA GENTE GALERA NUNCA NENHUM ARTISTA DA YGE VEIO PRA CÁ E SEM DÚVIDAS DEVE TER UM SHOW ERA SEI LÁ MAS JUNTEM DINHEIRO LOGO,not_toxic,not_toxic,NOT_TOXIC,98.9
"e o segurança do meu trabalho ainda achou engraçado o assédio com menor de idade,porra engraçadão",not_toxic,obscene,OBSCENE,98.7
"me hipnotiza quando joga a bunda 
eita porra eu viajo na vagabunda",misogyny,obscene,OBSCENE,109.0
"homem: nossa você é muito linda parece um anjo tô apaixonado quer ficar comigo 😍

mulher: quero não vlw

homem: você nem é isso tudo sua escrota nojenta puta vagabunda eu nem queria tanto ficar com você mesmo sua piranha arrombada para de se achar sua vadia fudida rodada🤬",obscene,obscene,OBSCENE,104.5
vcs superam as coisas rápido demais pt.2 https://t.co/l0gxpxnhwz,not_toxic,not_toxic,NOT_TOXIC,98.4
"Tretei tanto ontem no role que sonhei tretando também. Mas porra, qual a probabilidade de conversar com dois caras que são antivacina em uma mesma noite e lugar? Quase dei um murro nos dois. Faltou muito pouco.",not_toxic,not_toxic,NOT_TOXIC,98.6
@user @user @user @user @user O cara cai acabar com a graça dos rivais em chamar São paulino de bambi,not_toxic,not_toxic,NOT_TOXIC,98.0
você me deixa fazer junto com você?,not_toxic,not_toxic,NOT_TOXIC,102.4
rt @user ngm me manda pergunta nessa porra https://t.co/v9twj5envc,not_toxic,not_toxic,NOT_TOXIC,100.6
@user responde vc caraio,not_toxic,not_toxic,NOT_TOXIC,103.5
pqp o cara e bruxo msm 💪🏿💪🏿⚽,not_toxic,not_toxic,NOT_TOXIC,103.0
