text,label,predicao,resposta_raw,tokens_s
"@user @user @user Se não fosse um bando de vândalos famosos por depredação de patrimônio público e queima de pneus, isso não estaria acontecendo.

Vândalos vagabundo tem que ser monitorado.",insult,not_toxic,NOT_TOXIC,94.0
"vejo vídeos como esse e depois tenho que ver brancos tentando ganhar simpatia por ter se ofendido com piadinhas na internet mano VAI SE FUDER, enquanto vocês se ofendem com isso, pretos estão sendo tratados dessa forma aí na vida REAL",insult,not_toxic,NOT_TOXIC,104.3
"@user @user Vai se lascar sua idiota mentirosa. Você é asquerosa; repúdio é o que o povo brasileiro tem a seu respeito. Vamos extirpar gente do seu nível da política brasileira. Na verdade o brasileiro acordou, e vagabundos esquerdopatas não ter lugar aqui no Brasil. Cadeia nos bandidos",insult,not_toxic,NOT_TOXIC,103.9
rt @user ah vai tomar no cu,insult,not_toxic,NOT_TOXIC,105.7
@user @user @user a feia lá kkkkllkllllllkkkkkk,insult,not_toxic,NOT_TOXIC,104.0
sai o calanga kkkkk,insult,not_toxic,NOT_TOXIC,102.4
ernesto araújo so não é mais burro q o próprio presidente,insult,not_toxic,NOT_TOXIC,105.6
parece que se faz de idiota,insult,not_toxic,NOT_TOXIC,104.8
"@user @user toma na cara aí, fdp!!!",insult,not_toxic,NOT_TOXIC,101.2
@user tenho 22 anos e sou uma vitima deste lixo chamado paulo freire,insult,racism,RACISM,111.0
"@user Fui a Brasília e só vi pasto nos três poderes, um bando de mulas no Palácio do Planalto, nos ministérios,  no STF e parte significativa do congresso nacional",insult,racism,RACISM,111.4
"todo respeito, vai se fuder",insult,not_toxic,NOT_TOXIC,102.1
vai tomar no meio do seu cu,insult,not_toxic,NOT_TOXIC,101.9
"@user só o flamerda pode contratar lixo europeu? os outros também podem, recalcado! 🤫",insult,not_toxic,NOT_TOXIC,104.6
@user @user não está feliz vai embora lixo.,insult,not_toxic,NOT_TOXIC,99.6
"@user cala a sua boca idiota, queria saber como que eu te aguentei todo esse tempo",insult,not_toxic,NOT_TOXIC,104.9
@user @user duas puta manca,insult,not_toxic,NOT_TOXIC,105.7
"@user é cada doido, pqp. o brasileiro medio ta cada vez mais retardado",insult,racism,RACISM,106.7
@user providencia gorda,insult,not_toxic,NOT_TOXIC,105.0
banho no gordo https://t.co/lid0ibfoni,insult,racism,RACISM,109.9
eu ai me agarrava nessa infeliz e descia unhada e tapa nela vsf fã coreana nao tem um pingo de simancol,insult,not_toxic,NOT_TOXIC,105.8
@user @user tropinha é ridiculo olha o nome da sua guild mlk fbi tu ta de sacanagem,insult,obscene,OBSCENE,107.4
@user tu mãe vagabundo,insult,not_toxic,NOT_TOXIC,102.3
"rt @user pior coisa é homem escroto, ó raça fdp",insult,not_toxic,NOT_TOXIC,99.3
fizeram um videozinho que o @user ficou um pouco mais demente kkkkkkkkkkkkkkk https://t.co/pxsket3gma,insult,not_toxic,NOT_TOXIC,99.9
"@user @user @user SÓ drogado noiado,não vão convidar a escrava Isaura, não perceberam que hoje vcs artistas defensores do socialismo viraram chacota,não influenciam ninguém além da turminha insana ,não tem efeito na maioria do povo os protestinhos seus hipócritas.",insult,not_toxic,NOT_TOXIC,99.1
