text,label,predicao,resposta_raw,tokens_s
"Meu nivel de amizade com isis é ela ter meu insta e eu ter o dela, e quando eu penso que não ela manda mensagem “ falano otario ta falando dnv no insta”",insult,not_toxic,NOT_TOXIC,95.1
"rt @user @user o cara adultera dados, que foram desmascarados e ainda quer ficar no governo?",not_toxic,not_toxic,NOT_TOXIC,99.3
"@user @user @user o cara só é simplesmente o maior vencedor da história de futebol, tá com 36 anos e tem gás demais e não um gordo com joelho fodido",obscene,not_toxic,NOT_TOXIC,100.3
eu to chorando vei vsf e eu nem staneio izone nem nada https://t.co/rglb8luutw,not_toxic,not_toxic,NOT_TOXIC,100.1
"Eleitor do Bolsonaro é tão ignorante q não percebeu q a frase abaixo significa o seguinte:

“É melhor falar um monte de bosta do que ficar calado”.

Ainda transformaram em imagem bonitinha com citação e data hahhahahahhahahhahah. https://t.co/cBpSJT1Gdf",insult,not_toxic,NOT_TOXIC,98.1
rt @user vai responder as outras 75 conversas e para de cobrar atenção caralho https://t.co/g6qy9om78x,not_toxic,not_toxic,NOT_TOXIC,96.7
"tem um do jack com a msm música e agr não sei qual flodar 
grande dia 👍",not_toxic,not_toxic,NOT_TOXIC,98.0
mais é ruim pra pedir desafio  esse técnico do  azerbaijão,not_toxic,xenophobia,XENOPHOBIA,93.6
"@user eu fico vendo isso e penso ""desvantagens do k-pop esta sendo cada vez mais difundido"" o millenium americano ta tão acostumado com gente que não dança e perfomances sem coreografia que quando veem dança de verdade e sincronia fica bugado",xenophobia,not_toxic,NOT_TOXIC,100.4
"frio do caralho, parece até q to dentro do teu coração",not_toxic,not_toxic,NOT_TOXIC,100.9
"@user o mentiroso
https://t.co/5fantv4zdx",insult,insult,INSULT,114.8
"@user onde mexe fede!
#forastf 
#stfvergonhanacional 
#forasuspeitotribunalfederal
#nasruascontrastf",not_toxic,insult,INSULT,115.8
"meu filho vem primeiro, ele é minha prioridade!",not_toxic,not_toxic,NOT_TOXIC,100.5
hoje deu vontade de abraçar minha mãe e chorar o dia inteiro 😔 tpm seja bem vinda.,not_toxic,not_toxic,NOT_TOXIC,99.8
"Minha conta iria fazer 10 anos, em abril perdeu todos os seguidores, recomeçando, foi suspensa dia 25 de julho.

Enquanto do outro lado, o da criminalidade, pode todos os absurdos, o Povo honesto e trabalhador não pode nada. Não seremos adestrados. Nunca!

#DireitaCensurada https://t.co/qVWf3HxWd8",not_toxic,not_toxic,NOT_TOXIC,100.3
"@user não se ele tiver encomendado o ""serviço""",not_toxic,not_toxic,NOT_TOXIC,100.4
@user @user @user sou a favor de invadir o stf e não chegarmos lá d mãos vazias....😝😝😝,not_toxic,not_toxic,NOT_TOXIC,100.2
"@user @user Folha de São Paulo pra mim não serve nem pra pendurar no banheiro de posto de gasolina,  pegar na mão então nem se fala. Acho que ler fotonovela, se é que ainda existe é mais proveitoso",not_toxic,not_toxic,NOT_TOXIC,98.9
"@user @user Vc deve ser louca, defendi o INPE na nossa conversa, ou vc é cega, disléxica, achei péssimo a exoneração feita hoje, tenho ciência do bom trabalho q o INPE faz, enfim, não vou perder meu tempo com vc, abraça o DataFolha aí, espere a virada do Haddad ou Ciro no segundo turno kkkkk",insult,not_toxic,NOT_TOXIC,101.2
"@user nao deixa sua cabeça te fazer de maluca, seu corpo é lindo, assim como todos são dos seus jeitinhos, vai a praia sim eu hein vou dar na sua cara",not_toxic,not_toxic,NOT_TOXIC,101.3
@user os hormonios pulando...,not_toxic,not_toxic,NOT_TOXIC,102.4
"hoje é caso dormir cedo
tipo um preso",not_toxic,not_toxic,NOT_TOXIC,101.6
e nessa loucuraaaaaa de dizer que não te querooooooooo,not_toxic,not_toxic,NOT_TOXIC,101.5
"@user @user Eu como morador da terra do meio no Pará e conselheiro de 2 UCs, posso falar com segurança que os dados do Inpe, realmente estavam sendo manipulados por ativista travestidos de cientistas pra prejudicar a imagem do governo Bolsonaro! Ontem o ministro Salles provou isso!",insult,not_toxic,NOT_TOXIC,101.7
bixetes vem logo por favor,not_toxic,not_toxic,NOT_TOXIC,102.2
"Por outro lado, entre os gestores há um consenso que joga contra o investimento de mais longo prazo. 
Quando provocados, eles são categóricos: se há uma posição que eles não carregariam por 10 anos de olhos fechados é Itaú, ou qualquer outro banco grande.",not_toxic,not_toxic,NOT_TOXIC,99.9
rt @user hora de colocar os fatos na mesa https://t.co/8174j0wtry,not_toxic,not_toxic,NOT_TOXIC,101.8
o gambenja. como os gambás contrataram o ruimgil sem ter dinheiro pra pagar as marmita s#fsradiobrasil,insult,racism,RACISM,105.3
1h30 para sair de casa e estou deitada no sofá como se nada fosse,not_toxic,not_toxic,NOT_TOXIC,101.6
"mano, eu to super de boa, ai penso em certas coisas e já fecho a cara e ninguém entende nd",not_toxic,not_toxic,NOT_TOXIC,101.2
