text,homophobia,obscene,insult,racism,misogyny,xenophobia,label
@user @user @user @user @user piranha #mpn #uniters #nowunited,0.0,0.0,1.0,0.0,2.0,0.0,misogyny
aí eu de curiosa fui atender e o macho tava pelado balançando o pau,0.0,3.0,0.0,0.0,0.0,0.0,obscene
rt @user ontem no mc foi muito engraçado pqp kkkkkk,0.0,2.0,0.0,0.0,0.0,0.0,obscene
rt @user ✌️ thread de pornozão sapatão pra vc siriricar na madrugada 👅,0.0,2.0,0.0,0.0,0.0,0.0,obscene
"@user @user Cara, vá tomar no seu cu, ser desprezível, irracional, ameba, filho de uma puta covarde que se esconde com fake, lixo! Que porra isso tem haver com política! Esse merda que faz isso com uma criança deveria ser empalado em praça pública!",0.0,3.0,3.0,0.0,0.0,0.0,obscene
@user pegaram o bom senso e enfiaram no cu,0.0,2.0,0.0,0.0,0.0,0.0,obscene
pelo amor de deus onde é normal perder a virgindade com 14 anos? na maioria dos casos a pessoa não tem conhecimento nem sobre o seu próprio corpo pqp,0.0,2.0,0.0,0.0,0.0,0.0,obscene
"rt @user tenho que parar com essa mania de achar que ""fulano"" é diferente. pq no final é o msm pau no cu igual todos os outros.🖕🏾",0.0,3.0,2.0,0.0,0.0,0.0,obscene
o giseok ta vivo caralho,0.0,2.0,0.0,0.0,0.0,0.0,obscene
"o tempo passa e vagabundo tá morrendo mais e construindo menos
rio é foda, deu mole, ficou de exemplo 🎵🎶",0.0,2.0,2.0,0.0,0.0,0.0,obscene
@user responde a porra do grupo filha da puta,0.0,2.0,2.0,0.0,0.0,0.0,obscene
"já to nervoso pro jogo amanhã pqp, não posso nem ficar pensando nisso",0.0,2.0,0.0,0.0,0.0,0.0,obscene
"o que vocês acham de fuder sem camisinha sabendo que pode engravidar mas namorado não liga, ele trancou a faculdade, a garota ainda está no colegial, as amigas vivem aconselhando a usar mas não são escutadas",0.0,2.0,0.0,0.0,0.0,0.0,obscene
"@user Puta merda, vale até apoiar o absurdo do imposto sobre o videogame para abastecer a narrativa caótica da imprensa!!!! Que LIXO!!!!",0.0,2.0,1.0,0.0,0.0,0.0,obscene
sdds de chupar uma buceta,0.0,2.0,0.0,0.0,0.0,0.0,obscene
"@user um cara mandou o flow se fuder falando que era eu, sendo que eu tava dormindo",0.0,2.0,1.0,0.0,0.0,0.0,obscene
rt @user @user precisa explicar ? sério isso? essa veja é uma merda msm. pqp!,0.0,2.0,1.0,0.0,0.0,0.0,obscene
@user @user vou até beber uma água pqp,0.0,2.0,0.0,0.0,0.0,0.0,obscene
"rt @user pizza grande                   r$ 60,00
pizza média                    r$ 57,00

ô meu amigo vá se fuder",0.0,2.0,1.0,0.0,0.0,0.0,obscene
que gripe fdp,0.0,2.0,0.0,0.0,0.0,0.0,obscene
rt @user pq tá todo mundo incomodado pq tomei 500ml de açaí no cu da manhã?,0.0,2.0,0.0,0.0,0.0,0.0,obscene
"@user pau no cu dele, vc é um anjo merece amor",0.0,2.0,2.0,0.0,0.0,0.0,obscene
"tesao pôs academia pqp..
#muitoputo https://t.co/yteq0clwfr",0.0,2.0,0.0,0.0,0.0,0.0,obscene
@user o flamengo se classificou. vcs estão discutindo o que?! segue o jogo caralho!,0.0,2.0,0.0,0.0,0.0,0.0,obscene
minha prima salvando o rolê mais uma vez. caralho todos melhores rolês da minha vida foi com ela,0.0,2.0,0.0,0.0,0.0,0.0,obscene
@user @user @user eu protejo seu cu,0.0,2.0,0.0,0.0,0.0,0.0,obscene
"@user @user ""toda sensual acariciando o pau na vdd to lavando"" kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk",0.0,3.0,0.0,0.0,0.0,0.0,obscene
a festa da mel foi tão perfeita chorei muito aí eu amo a mel pqp,0.0,2.0,0.0,0.0,0.0,0.0,obscene
tu é mt gata pra esses menos fudido — rala dai feioso (a) https://t.co/uwwboxlyzw,0.0,2.0,1.0,0.0,0.0,0.0,obscene
"e minha mãe fica ""é normal olhar sua loca"" eu mentalmente ""normal o caralho""",0.0,2.0,0.0,0.0,0.0,0.0,obscene
vsf coloca a amanda,0.0,2.0,0.0,0.0,0.0,0.0,obscene
"@user teu seio , pego bem gostoso nele , xupadinhas , com mordidinhas , hummm , q delícia amorrr .. Com uma outra mãozinha "" boba "" , vai descendo por teu corpo , ate chegar ,em tua virilhia , aiii morrr , vc é d ++ , passo minha não , na tua glub , q delicia , lisinha , penetro um",0.0,3.0,0.0,0.0,0.0,0.0,obscene
@user @user @user mete mas é os dedos no cu seu cabrao nem tomas banho,0.0,3.0,1.0,0.0,0.0,0.0,obscene
"rt @user • apesar de ser um nenê, porra macho lindo do caralho",0.0,2.0,0.0,0.0,0.0,0.0,obscene
rt @user que caralho de gente chata mano tomar no cu o são paulo não vai anunciar o juanfran agora com um milhão de jogo acontecendo,0.0,2.0,1.0,0.0,0.0,0.0,obscene
acorda td dia de p** duro? — kkkkkkkkkk va se foder https://t.co/auy89u5mkn,0.0,2.0,0.0,0.0,0.0,0.0,obscene
estou me iludindo sim ou obvio filha da puta,0.0,2.0,0.0,0.0,0.0,0.0,obscene
"garoto se eu te pego eu sento tanto nesse teu pau com força vc vai gemer tao alto q o som vai ultrapassar a estra… — Eiiitaaaapohaaa , chama no Pv bb vamo marca essa coroação aí ⚔️ https://t.co/ZreTSuCezm",0.0,3.0,0.0,0.0,0.0,0.0,obscene
"pau no cu da republica dominicana
aqui é brasil",0.0,2.0,0.0,0.0,0.0,1.0,obscene
